,Topics,Alpha,Beta,Auto Coherence Umass,Intra/Inter Similarity word2vec10 1st version,Intra/Inter Similarity word2vec20 1st version,Intra/Inter Similarity word2vecGoogle 1st version,Intra/Inter Similarity word2vec10 2nd version,Intra/Inter Similarity word2vec20 2nd version,Intra/Inter Similarity word2vecGoogle 2nd version,NumberOfWordsNotInGoogleW2v,Topic Distance JS,Auto Coherence without pretrained,Auto Coherence with word2vec10,Auto Coherence with word2vec20,Auto Coherence with word2vecGoogle
51,20,0.61,symmetric,-3.018926665282135,1.2296572257875884,1.2233791418609972,0.7245338025661333,1.103621727670135,1.0978799349421686,1.0083180768553632,"(0, 344)",0.8172354752044465,0.7304175,0.50152206,0.48657736,0.61590743
52,20,symmetric,0.01,-3.168404869644063,1.202585259511867,1.1952591869318088,0.718263140289482,1.0976007928938374,1.0921170392305437,1.008583872074235,"(5, 291)",0.7974167245993035,0.72667116,0.49880895,0.48282498,0.59896934
53,20,symmetric,0.31,-2.997971041671737,1.2060423301035743,1.1949542554943602,0.7276343527794766,1.0983011654803776,1.0916522636787345,1.009582408441007,"(5, 292)",0.7935300349632214,0.7276121,0.5015044,0.48320657,0.6143719
54,20,symmetric,0.61,-2.9696594912229126,1.2110428777223814,1.2008009791577727,0.7257880444624312,1.0980035150198346,1.0917127131129227,1.00957520458872,"(5, 287)",0.7926687394185861,0.72676647,0.49827152,0.48115578,0.61152977
55,20,symmetric,symmetric,-3.1036487169132947,1.2034387783168832,1.1957931849243242,0.7123965846616754,1.095919775286048,1.0904538815987186,1.0065343023719326,"(5, 290)",0.7964917061978132,0.72582126,0.49412084,0.47836962,0.59829414
56,20,asymmetric,0.01,-3.0634772023611507,1.2125014409191104,1.2040382057459256,0.7247678748121643,1.099742744676011,1.0939186068378883,1.009239268350106,"(3, 301)",0.799384443162309,0.7284458,0.5010849,0.48482785,0.61137784
57,20,asymmetric,0.31,-3.064495497368914,1.1927755648049707,1.1859359504813167,0.7186136546156552,1.0946587739911913,1.0889369938903688,1.0078701568289372,"(5, 275)",0.7846579725570036,0.7258902,0.49347478,0.47654313,0.6050564
58,20,asymmetric,0.61,-3.006805648576056,1.1834538169030364,1.175470642479436,0.7210758420533988,1.0926582193910142,1.086824829931336,1.0086745791717602,"(5, 275)",0.7904371143794581,0.72679514,0.49121332,0.47386485,0.60676223
59,20,asymmetric,symmetric,-3.137363162802928,1.220156823632495,1.211262494806823,0.7216625124612179,1.1020231183623734,1.096153866740897,1.0075377759986983,"(1, 282)",0.7974196295644689,0.7272152,0.5049475,0.48878247,0.61163163
60,22,0.01,0.01,-2.731560963431847,1.215787915253026,1.2071099662255154,0.7316062030583211,1.1035475980184926,1.0972203703303347,1.0094378755735331,"(0, 311)",0.7971163126930161,0.7424652,0.5148165,0.4969701,0.62274194
